gagename,dtime_edt,rainfall_in
7,2020-04-13T08:15:00Z,0.03
7,2020-04-13T08:30:00Z,0.01
7,2020-04-13T08:45:00Z,0.02
7,2020-04-13T09:45:00Z,0.02
7,2020-04-13T10:00:00Z,0.14
7,2020-04-13T10:15:00Z,0.13
7,2020-04-13T10:30:00Z,0.09
7,2020-04-13T10:45:00Z,0.09
7,2020-04-13T11:00:00Z,0.07
7,2020-04-13T11:15:00Z,0.06
7,2020-04-13T11:30:00Z,0.08
7,2020-04-13T11:45:00Z,0.08
7,2020-04-13T12:00:00Z,0.02
7,2020-04-13T12:15:00Z,0.04
7,2020-04-13T12:30:00Z,0.03
7,2020-04-13T12:45:00Z,0.02
7,2020-04-13T13:15:00Z,0.02
7,2020-04-13T13:30:00Z,0.04
7,2020-04-13T13:45:00Z,0.02
7,2020-04-13T14:00:00Z,0.01
7,2020-04-13T14:30:00Z,0.01
7,2020-04-13T16:15:00Z,0.02
7,2020-04-13T16:30:00Z,0.02
7,2020-04-13T18:00:00Z,0.02
7,2020-04-13T18:15:00Z,0.02
7,2020-04-13T18:30:00Z,0.06
7,2020-04-13T19:15:00Z,0.03
7,2020-04-13T19:30:00Z,0.18
7,2020-04-13T19:45:00Z,0.12
7,2020-04-13T20:00:00Z,0.04
7,2020-04-15T08:00:00Z,0.01
7,2020-04-18T10:00:00Z,0.01
7,2020-04-18T10:30:00Z,0.01
7,2020-04-18T10:45:00Z,0.01
7,2020-04-18T11:15:00Z,0.01
7,2020-04-18T12:00:00Z,0.01
7,2020-04-21T15:45:00Z,0.01
7,2020-04-21T16:15:00Z,0.01
7,2020-04-21T16:45:00Z,0.01
7,2020-04-21T18:15:00Z,0.11
7,2020-04-21T18:30:00Z,0.01
7,2020-04-24T00:00:00Z,0.01
7,2020-04-24T00:45:00Z,0.01
7,2020-04-24T01:00:00Z,0.01
7,2020-04-24T01:30:00Z,0.01
7,2020-04-24T02:00:00Z,0.01
7,2020-04-24T02:15:00Z,0.01
7,2020-04-24T02:30:00Z,0.01
7,2020-04-24T02:45:00Z,0.02
7,2020-04-24T03:00:00Z,0.03
7,2020-04-24T03:15:00Z,0.03
7,2020-04-24T03:30:00Z,0.04
7,2020-04-24T03:45:00Z,0.03
7,2020-04-24T04:00:00Z,0.03
7,2020-04-24T04:15:00Z,0.04
7,2020-04-24T04:30:00Z,0.03
7,2020-04-24T04:45:00Z,0.04
7,2020-04-24T05:00:00Z,0.04
7,2020-04-24T05:15:00Z,0.03
7,2020-04-24T05:30:00Z,0.05
7,2020-04-24T05:45:00Z,0.04
7,2020-04-24T06:00:00Z,0.02
7,2020-04-24T06:15:00Z,0.02
7,2020-04-24T06:30:00Z,0.01
7,2020-04-24T06:45:00Z,0.01
7,2020-04-24T07:00:00Z,0.01
7,2020-04-24T07:15:00Z,0.01
7,2020-04-24T07:30:00Z,0.02
7,2020-04-24T08:00:00Z,0.01
7,2020-04-24T10:45:00Z,0.02
7,2020-04-24T11:00:00Z,0.01
7,2020-04-24T11:15:00Z,0.02
7,2020-04-24T11:30:00Z,0.01
7,2020-04-24T11:45:00Z,0.02
7,2020-04-24T12:00:00Z,0.02
7,2020-04-24T12:15:00Z,0.04
7,2020-04-24T12:30:00Z,0.06
7,2020-04-24T12:45:00Z,0.02
7,2020-04-24T13:00:00Z,0.02
7,2020-04-24T13:15:00Z,0.01
7,2020-04-24T14:00:00Z,0.01
7,2020-04-24T14:15:00Z,0.01
7,2020-04-24T14:30:00Z,0.02
7,2020-04-24T14:45:00Z,0.01
7,2020-04-24T15:00:00Z,0.01
7,2020-04-24T15:45:00Z,0.01
7,2020-04-24T18:30:00Z,0.01
7,2020-04-26T04:00:00Z,0.01
7,2020-04-26T04:15:00Z,0.01
7,2020-04-26T05:00:00Z,0.01
7,2020-04-26T11:45:00Z,0.01
7,2020-04-26T12:00:00Z,0.01
7,2020-04-26T14:30:00Z,0.01
7,2020-04-26T15:00:00Z,0.01
7,2020-04-26T15:30:00Z,0.01
7,2020-04-26T16:45:00Z,0.01
7,2020-04-26T17:15:00Z,0.01
7,2020-04-26T19:15:00Z,0.02
7,2020-04-26T19:30:00Z,0.01
7,2020-04-26T19:45:00Z,0.01
7,2020-04-26T20:00:00Z,0.01
7,2020-04-26T20:15:00Z,0.01
7,2020-04-26T20:30:00Z,0.01
7,2020-04-26T22:00:00Z,0.01
7,2020-04-26T22:45:00Z,0.01
7,2020-04-27T02:15:00Z,0.01
7,2020-04-30T21:45:00Z,0.01
7,2020-04-30T22:00:00Z,0.01
7,2020-04-30T22:30:00Z,0.02
7,2020-04-30T22:45:00Z,0.01
7,2020-04-30T23:00:00Z,0.01
7,2020-04-30T23:15:00Z,0.12
7,2020-04-30T23:30:00Z,0.05
7,2020-04-30T23:45:00Z,0.01
7,2020-05-01T00:00:00Z,0.01
7,2020-05-01T00:15:00Z,0.03
7,2020-05-01T00:30:00Z,0.02
7,2020-05-01T00:45:00Z,0.01
7,2020-05-01T01:15:00Z,0.01
7,2020-05-01T02:00:00Z,0.01
7,2020-05-01T02:30:00Z,0.01
7,2020-05-01T03:00:00Z,0.01
7,2020-05-01T03:15:00Z,0.02
7,2020-05-01T03:45:00Z,0.01
7,2020-05-03T07:30:00Z,0.01
7,2020-05-03T07:45:00Z,0.02
7,2020-05-03T08:00:00Z,0.01
7,2020-05-03T08:15:00Z,0.02
7,2020-05-03T08:30:00Z,0.02
7,2020-05-03T08:45:00Z,0.01
7,2020-05-04T06:00:00Z,0.01
7,2020-05-06T19:30:00Z,0.01
7,2020-05-06T19:45:00Z,0.01
7,2020-05-06T21:15:00Z,0.01
7,2020-05-06T21:45:00Z,0.01
7,2020-05-06T22:00:00Z,0.01
7,2020-05-06T22:15:00Z,0.01
7,2020-05-06T22:45:00Z,0.01
7,2020-05-06T23:00:00Z,0.01
7,2020-05-06T23:45:00Z,0.01
7,2020-05-08T13:45:00Z,0.01
7,2020-05-08T14:00:00Z,0.5
7,2020-05-08T15:45:00Z,0.02
7,2020-05-08T16:45:00Z,0.01
7,2020-05-08T21:45:00Z,0.01
7,2020-05-08T22:45:00Z,0.02
7,2020-05-08T23:15:00Z,0.02
7,2020-05-08T23:30:00Z,0.04
7,2020-05-08T23:45:00Z,0.01
7,2020-05-09T00:00:00Z,0.01
7,2020-05-09T00:15:00Z,0.01
7,2020-05-09T00:30:00Z,0.01
7,2020-05-09T00:45:00Z,0.02
7,2020-05-09T01:00:00Z,0.01
7,2020-05-09T01:15:00Z,0.05
7,2020-05-09T01:30:00Z,0.04
7,2020-05-09T01:45:00Z,0.03
7,2020-05-09T02:00:00Z,0.01
7,2020-05-09T02:15:00Z,0.02
7,2020-05-09T02:30:00Z,0.01
7,2020-05-09T03:00:00Z,0.01
7,2020-05-09T03:15:00Z,0.02
7,2020-05-09T03:30:00Z,0.02
7,2020-05-09T03:45:00Z,0.01
7,2020-05-09T04:00:00Z,0.02
7,2020-05-09T04:15:00Z,0.01
7,2020-05-09T04:30:00Z,0.01
7,2020-05-11T12:00:00Z,0.02
7,2020-05-11T12:15:00Z,0.01
7,2020-05-11T12:30:00Z,0.01
7,2020-05-22T18:00:00Z,0.13
7,2020-05-22T18:15:00Z,0.02
7,2020-05-22T18:30:00Z,0.02
7,2020-05-22T18:45:00Z,0.1
7,2020-05-22T19:00:00Z,0.04
7,2020-05-22T19:15:00Z,0.09
7,2020-05-22T19:30:00Z,0.06
7,2020-05-22T19:45:00Z,0.01
7,2020-05-22T20:00:00Z,0.03
7,2020-05-22T20:15:00Z,0.01
7,2020-05-23T10:00:00Z,0.01
7,2020-05-23T10:45:00Z,0.03
7,2020-05-23T11:00:00Z,0.14
7,2020-05-23T11:15:00Z,0.21
7,2020-05-23T11:30:00Z,0.06
7,2020-05-23T11:45:00Z,0.04
7,2020-05-23T12:00:00Z,0.04
7,2020-05-23T12:15:00Z,0.04
7,2020-05-23T12:30:00Z,0.04
7,2020-05-23T12:45:00Z,0.03
7,2020-05-23T13:00:00Z,0.01
7,2020-05-28T06:30:00Z,0.04
7,2020-05-28T06:45:00Z,0.02
7,2020-05-28T07:00:00Z,0.01
7,2020-05-28T15:15:00Z,0.01
7,2020-05-28T15:45:00Z,0.01
7,2020-06-03T16:15:00Z,0.007
7,2020-06-03T16:30:00Z,0.197
7,2020-06-03T16:45:00Z,0.059
7,2020-06-03T17:00:00Z,0.027
7,2020-06-03T17:15:00Z,0.023
7,2020-06-03T17:30:00Z,0.01
7,2020-06-03T23:30:00Z,0.035
7,2020-06-03T23:45:00Z,0.042
7,2020-06-04T00:00:00Z,0.008
7,2020-06-04T00:45:00Z,0.001
7,2020-06-05T03:15:00Z,0.18
7,2020-06-05T03:30:00Z,0.11
7,2020-06-05T03:45:00Z,0.01
7,2020-06-05T04:00:00Z,0.01
7,2020-06-05T05:30:00Z,0.01
7,2020-06-05T05:45:00Z,0.07
7,2020-06-05T06:00:00Z,0.03
7,2020-06-05T06:15:00Z,0.02
7,2020-06-05T06:30:00Z,0.02
7,2020-06-05T06:45:00Z,0.01
7,2020-06-05T07:00:00Z,0.02
7,2020-06-05T07:15:00Z,0.01
7,2020-06-05T07:30:00Z,0.02
7,2020-06-05T07:45:00Z,0.01
7,2020-06-05T08:15:00Z,0.01
7,2020-06-05T20:00:00Z,0.38
7,2020-06-05T20:15:00Z,0.04
7,2020-06-05T22:30:00Z,0.01
7,2020-06-05T23:15:00Z,0.01
7,2020-06-06T00:00:00Z,0.01
7,2020-06-06T00:15:00Z,0.02
7,2020-06-06T02:00:00Z,0.01
7,2020-06-06T02:30:00Z,0.01
7,2020-06-06T05:15:00Z,0.01
7,2020-06-06T06:15:00Z,0.01
7,2020-06-06T06:45:00Z,0.01
7,2020-06-11T07:45:00Z,0.02
7,2020-06-11T14:15:00Z,0.03
7,2020-06-11T15:15:00Z,0.05
7,2020-06-11T17:00:00Z,0.01
7,2020-06-11T17:30:00Z,0.03
7,2020-06-11T17:45:00Z,0.05
7,2020-06-11T18:00:00Z,0.02
7,2020-06-11T18:15:00Z,0.03
7,2020-06-18T08:45:00Z,0.01
7,2020-06-18T09:00:00Z,0.01
7,2020-06-18T09:15:00Z,0.01
7,2020-06-18T09:30:00Z,0.01
7,2020-06-18T09:45:00Z,0.02
7,2020-06-18T10:15:00Z,0.01
7,2020-06-18T14:30:00Z,0.01
7,2020-06-18T14:45:00Z,0.18
7,2020-06-18T15:00:00Z,0.1
7,2020-06-18T15:15:00Z,0.03
7,2020-06-20T21:00:00Z,0.01
7,2020-06-20T21:15:00Z,0.02
7,2020-06-20T21:30:00Z,0.05
7,2020-06-20T21:45:00Z,0.03
7,2020-06-20T22:00:00Z,0.01
7,2020-06-20T23:15:00Z,0.01
7,2020-06-27T12:30:00Z,0.02
7,2020-06-30T01:45:00Z,0.01
7,2020-07-04T01:00:00Z,0.01
7,2020-07-04T01:15:00Z,0.02
7,2020-07-06T16:30:00Z,0.01
7,2020-07-06T16:45:00Z,0.07
7,2020-07-06T17:00:00Z,0.08
7,2020-07-06T17:15:00Z,0.06
7,2020-07-06T17:30:00Z,0.05
7,2020-07-06T17:45:00Z,0.11
7,2020-07-06T18:00:00Z,0.3
7,2020-07-06T18:15:00Z,0.36
7,2020-07-06T18:30:00Z,0.39
7,2020-07-06T18:45:00Z,0.5
7,2020-07-06T19:00:00Z,0.22
7,2020-07-06T19:15:00Z,0.24
7,2020-07-06T19:30:00Z,0.02
7,2020-07-06T20:00:00Z,0.01
7,2020-07-06T21:30:00Z,0.01
7,2020-07-07T00:30:00Z,0.01
7,2020-07-10T12:30:00Z,0.02
7,2020-07-10T12:45:00Z,0.01
7,2020-07-10T13:00:00Z,0.03
7,2020-07-10T13:15:00Z,0.02
7,2020-07-10T13:45:00Z,0.02
7,2020-07-10T14:00:00Z,0.03
7,2020-07-10T14:15:00Z,0.06
7,2020-07-10T14:30:00Z,0.08
7,2020-07-10T14:45:00Z,0.09
7,2020-07-10T15:00:00Z,0.05
7,2020-07-10T15:15:00Z,0.08
7,2020-07-10T15:30:00Z,0.09
7,2020-07-10T15:45:00Z,0.09
7,2020-07-10T16:00:00Z,0.19
7,2020-07-10T16:15:00Z,0.14
7,2020-07-10T16:30:00Z,0.34
7,2020-07-10T16:45:00Z,0.28
7,2020-07-10T17:00:00Z,0.09
7,2020-07-10T17:15:00Z,0.18
7,2020-07-10T17:30:00Z,0.05
7,2020-07-10T17:45:00Z,0.24
7,2020-07-10T18:00:00Z,0.07
7,2020-07-10T18:15:00Z,0.07
7,2020-07-10T18:30:00Z,0.09
7,2020-07-10T19:00:00Z,0.01
7,2020-07-10T19:30:00Z,0.16
7,2020-07-10T19:45:00Z,0.15
7,2020-07-10T20:00:00Z,0.05
7,2020-07-10T20:15:00Z,0.03
7,2020-07-10T20:30:00Z,0.02
7,2020-07-10T20:45:00Z,0.02
7,2020-07-10T21:00:00Z,0.02
7,2020-07-10T21:30:00Z,0.01
7,2020-07-10T22:00:00Z,0.01
7,2020-07-10T23:00:00Z,0.01
7,2020-07-10T23:30:00Z,0.02
7,2020-07-10T23:45:00Z,0.02
7,2020-07-11T00:15:00Z,0.01
7,2020-07-11T02:00:00Z,0.01
7,2020-07-11T18:30:00Z,0.01
7,2020-07-13T04:00:00Z,0.01
7,2020-07-13T04:15:00Z,0.01
7,2020-07-13T05:00:00Z,0.01
7,2020-07-13T05:15:00Z,0.06
7,2020-07-13T05:30:00Z,0.01
7,2020-07-22T04:45:00Z,0.01
7,2020-07-22T22:15:00Z,0.05
7,2020-07-22T22:30:00Z,0.06
7,2020-07-22T22:45:00Z,0.15
7,2020-07-22T23:00:00Z,0.03
7,2020-07-22T23:15:00Z,0.02
7,2020-07-22T23:30:00Z,0.03
7,2020-07-22T23:45:00Z,0.02
7,2020-07-23T00:15:00Z,0.01
7,2020-07-23T00:45:00Z,0.01
7,2020-07-23T13:00:00Z,0.05
7,2020-07-23T13:15:00Z,0.14
7,2020-07-23T13:30:00Z,0.01
7,2020-07-24T04:00:00Z,0.03
7,2020-07-24T04:15:00Z,0.12
7,2020-07-24T04:45:00Z,0.01
7,2020-07-24T05:00:00Z,0.03
7,2020-07-24T05:15:00Z,0.03
7,2020-07-24T05:30:00Z,0.01
7,2020-07-24T06:00:00Z,0.01
7,2020-07-24T06:45:00Z,0.01
7,2020-07-24T08:00:00Z,0.01
7,2020-07-24T08:30:00Z,0.01
7,2020-07-24T09:00:00Z,0.01
7,2020-07-24T10:00:00Z,0.01
7,2020-07-24T10:30:00Z,0.01
7,2020-07-24T13:45:00Z,0.15
7,2020-07-24T14:00:00Z,0.06
7,2020-07-24T14:15:00Z,0.27
7,2020-07-24T14:30:00Z,0.33
7,2020-07-24T14:45:00Z,0.24
7,2020-07-24T15:00:00Z,0.02
7,2020-07-24T18:45:00Z,0.32
7,2020-07-24T19:00:00Z,0.34
7,2020-07-24T19:15:00Z,0.21
7,2020-07-24T19:30:00Z,0.08
7,2020-07-24T19:45:00Z,0.01
7,2020-07-31T07:15:00Z,0.01
7,2020-07-31T09:45:00Z,0.01
7,2020-07-31T10:15:00Z,0.01
7,2020-07-31T11:15:00Z,0.01
7,2020-07-31T15:30:00Z,0.01
7,2020-08-04T05:45:00Z,0.02
7,2020-08-04T06:00:00Z,0.02
7,2020-08-04T07:00:00Z,0.03
7,2020-08-04T07:15:00Z,0.12
7,2020-08-04T07:30:00Z,0.08
7,2020-08-04T07:45:00Z,0.01
7,2020-08-04T08:00:00Z,0.01
7,2020-08-04T08:15:00Z,0.01
7,2020-08-04T09:15:00Z,0.01
7,2020-08-04T10:15:00Z,0.01
7,2020-08-04T10:30:00Z,0.01
7,2020-08-04T10:45:00Z,0.01
7,2020-08-04T11:00:00Z,0.06
7,2020-08-04T11:30:00Z,0.02
7,2020-08-04T12:15:00Z,0.01
7,2020-08-04T12:30:00Z,0.04
7,2020-08-04T12:45:00Z,0.03
7,2020-08-04T13:00:00Z,0.05
7,2020-08-04T13:15:00Z,0.04
7,2020-08-04T13:30:00Z,0.16
7,2020-08-04T13:45:00Z,0.02
7,2020-08-04T14:00:00Z,0.11
7,2020-08-04T14:15:00Z,0.28
7,2020-08-04T14:30:00Z,0.17
7,2020-08-04T14:45:00Z,0.27
7,2020-08-04T15:00:00Z,0.12
7,2020-08-04T15:15:00Z,0.1
7,2020-08-04T15:30:00Z,0.14
7,2020-08-04T15:45:00Z,0.02
7,2020-08-04T16:15:00Z,0.02
7,2020-08-04T16:45:00Z,0.01
7,2020-08-04T17:00:00Z,0.01
7,2020-08-04T18:00:00Z,0.01
7,2020-08-05T05:15:00Z,0.01
7,2020-08-06T11:45:00Z,0.01
7,2020-08-06T12:00:00Z,0.02
7,2020-08-06T12:15:00Z,0.02
7,2020-08-06T12:30:00Z,0.03
7,2020-08-06T12:45:00Z,0.05
7,2020-08-06T13:00:00Z,0.05
7,2020-08-06T13:15:00Z,0.06
7,2020-08-06T13:30:00Z,0.04
7,2020-08-06T13:45:00Z,0.01
7,2020-08-07T22:30:00Z,0.03
7,2020-08-07T22:45:00Z,0.04
7,2020-08-07T23:00:00Z,0.04
7,2020-08-07T23:15:00Z,0.06
7,2020-08-07T23:30:00Z,0.05
7,2020-08-07T23:45:00Z,0.02
7,2020-08-08T00:00:00Z,0.03
7,2020-08-08T00:15:00Z,0.01
7,2020-08-08T00:30:00Z,0.01
7,2020-08-08T01:15:00Z,0.01
7,2020-08-12T15:45:00Z,0.07
7,2020-08-12T16:00:00Z,0.68
7,2020-08-12T16:15:00Z,0.06
7,2020-08-12T18:30:00Z,0.01
7,2020-08-12T19:15:00Z,0.01
7,2020-08-12T19:30:00Z,0.02
7,2020-08-12T19:45:00Z,0.01
7,2020-08-13T19:30:00Z,0.01
7,2020-08-13T20:30:00Z,0.01
7,2020-08-13T21:15:00Z,0.01
7,2020-08-13T22:15:00Z,0.06
7,2020-08-13T22:30:00Z,0.02
7,2020-08-13T22:45:00Z,0.01
7,2020-08-13T23:00:00Z,0.01
7,2020-08-13T23:15:00Z,0.01
7,2020-08-14T04:00:00Z,0.01
7,2020-08-16T07:30:00Z,0.02
7,2020-08-16T07:45:00Z,0.01
7,2020-08-16T08:00:00Z,0.01
7,2020-08-16T08:15:00Z,0.02
7,2020-08-16T08:30:00Z,0.02
7,2020-08-16T08:45:00Z,0.02
7,2020-08-16T09:00:00Z,0.02
7,2020-08-16T09:15:00Z,0.02
7,2020-08-16T09:30:00Z,0.04
7,2020-08-16T09:45:00Z,0.02
7,2020-08-16T10:00:00Z,0.02
7,2020-08-16T10:15:00Z,0.02
7,2020-08-16T10:30:00Z,0.01
7,2020-08-16T10:45:00Z,0.01
7,2020-08-16T11:00:00Z,0.01
7,2020-08-16T11:45:00Z,0.01
7,2020-08-16T12:30:00Z,0.01
7,2020-08-16T12:45:00Z,0.02
7,2020-08-16T13:00:00Z,0.01
7,2020-08-16T13:15:00Z,0.03
7,2020-08-16T13:30:00Z,0.02
7,2020-08-16T13:45:00Z,0.02
7,2020-08-16T14:00:00Z,0.01
7,2020-08-16T14:15:00Z,0.01
7,2020-08-16T14:30:00Z,0.01
7,2020-08-16T15:00:00Z,0.01
7,2020-08-16T15:15:00Z,0.01
7,2020-08-16T15:30:00Z,0.01
7,2020-08-18T00:15:00Z,0.02
7,2020-08-23T17:15:00Z,0.03
7,2020-08-23T17:30:00Z,0.14
7,2020-08-23T17:45:00Z,0.01
7,2020-08-23T18:00:00Z,0.07
